Screen,Function,Level,Person in charge,Sprint,Note,BR,JOB
S-50 – Purchase / Deposit Request (Review & Confirm) (Buyer) – BP5,"FUNCTION GROUP A – Load & Pre-check
F1. Load listing information
Input: listingId
Load:
- Listing title
- seller basic info
- price
- current listing status
Rule:
- Nếu status ≠ APPROVED → redirect + show error
F2. Load buyer information
Lấy từ session:
- buyerId
- buyer profile (readonly)
Không cho chỉnh sửa tại screen này
FUNCTION GROUP B – Step 1: Input Request
F3. Select transaction type
Options:
- Purchase
- Deposit
Rule:
- Purchase → depositAmount = 0
- Deposit → depositAmount > 0
F4. Input desired transaction time
Input:
- desiredTime (datetime)
Validate:
- Không được ở quá khứ
- Không quá X ngày (nếu có rule)
F5. Input optional note
Optional text
Max length (ví dụ 500 ký tự)
F6. Validate request input
Validate:
- transactionType ≠ null
- desiredTime hợp lệ
- depositAmount (nếu có) > 0
Nếu fail:
- highlight field
- KHÔNG chuyển sang review
FUNCTION GROUP C – Step 2: Review & Confirm
(logic của S-51 cũ)
F7. Display transaction summary (readonly)
Hiển thị:
- Listing info
- Seller info
- Buyer info 
- Transaction type
- Desired time
- Estimated fees (platform / inspection)
F8. Back to edit
- Cho phép quay lại Step 1
- Không mất dữ liệu đã nhập
F9. Confirm transaction request
Khi Buyer click Confirm
Backend:
- Create Transaction
- status = PENDING_SELLER_CONFIRM
- link với:
  + listing
  + buyer
  + seller
Post-condition:
- Listing → vẫn APPROVED (chưa HELD)
- Seller được notify
FUNCTION GROUP D – Error & Edge case
F10. Prevent duplicate request (optional, trường hợp này là 1 buyer mở 2 tab để mua cùng 1 product)
Nếu Buyer đã có transaction pending cho listing này:
- chặn tạo mới
- show warning
F11. Handle concurrent status change (chỗ này là backend check lại để 1 products chỉ được mua bởi 1 người)
Nếu listing chuyển sang HELD trong lúc Buyer đang review:
- block confirm
- reload + show message
",medium,Dev D (Huy),Sprint 2,"Multi-step
Output & điều hướng
Success:
- Redirect → S-54 – Transaction Detail (Buyer View)
Fail:
- Ở lại S-50 + show error",,
S-51 – Transaction Summary (Buyer) – BP5,"1. Xem thông tin giao dịch
2. Hủy request (nếu pending)",simple,Dev D,Sprint 2,,,
S-52 – Pending Transactions (Seller) – BP5,"F1. Load pending transactions
Filter:
- status = PENDING_SELLER_CONFIRM
Load:
- transactionId
- buyer name
- listing title
- transaction type
- created date
F2. Sort & filter
Sort theo:
- created date
Optional filter:
- purchase / deposit
F3. Navigate to transaction detail
Click row → redirect S-53",medium,Dev D (Huy),Sprint 2,"Mục tiêu
Seller xem danh sách transaction đang chờ xử lý
Actor & Permission
Actor: Seller
Chỉ load transaction thuộc sellerId

Output
Không đổi trạng thái
Chỉ list + điều hướng",,
S-53 – Transaction Detail (Seller View) – BP5,"F1. Load transaction detail
Load:
- buyer info
- listing info
- transaction type
- desired time
- fee breakdown
F2. Accept transaction
Action:
- status → CONFIRMED
- listing → HELD
Notify Buyer
F3. Prevent invalid action
Nếu status ≠ pending:
- disable CTA",medium,Dev D (Huy),Sprint 2,"Mục tiêu
Seller:
xem chi tiết transaction
accept

Actor & Permission
Actor: Seller
Transaction status = PENDING_SELLER_CONFIRM

Output
- Success → refresh detail
- Buyer được notify",,
S-54 – Transaction Detail (Buyer View) – BP5,"F1. Load transaction detail
Hiển thị:
- seller info
- listing info
- status
- timeline
F2. Cancel transaction
Condition:
- status = PENDING_SELLER_CONFIRM
Action:
transaction → CANCELLED
listing → APPROVED
F3. Prevent invalid cancel
Nếu status ≠ pending:
- disable cancel",medium,Dev D (Huy),Sprint 2,"Mục tiêu
Buyer theo dõi trạng thái transaction
Actor & Permission
Actor: Buyer
BuyerId phải match transaction
Output
Redirect về Buyer Transaction List",,
S-60 – Shipper Dashboard – BP6,"F1. Load delivery summary
Count:
- assigned
- in-progress
- failed
F2. Navigate
CTA:
- View Assigned Deliveries → S-61",simple,Dev D (Huy),Sprint 3,"Mục tiêu
Overview công việc shipper
",,
S-61 – Assigned Deliveries (Detail View) – BP6,"FUNCTION GROUP A – Load deliveries
F1. Load assigned deliveries
Input:
- shipperId
Load list:
- deliveryId
- orderId
- pickup city
- delivery city
- status
- scheduled time
F2. Filter deliveries by status
Filter:
- Assigned
- In Progress
- Failed
Optional
FUNCTION GROUP B – View delivery detail (gộp S-62)
F3. Select delivery from list
Trigger:
- click 1 row
Load detail:
- seller info
- buyer info
- pickup address
- delivery address
- contact info
- current status
F4. Display delivery timeline (readonly)
Hiển thị:
- assigned time
- shipped time (nếu có)
- expected delivery time
FUNCTION GROUP C – Navigate to action screens
F5. Navigate to delivery confirmation
Condition:
- status = IN_PROGRESS
Action:
- redirect → S-63 – Delivery Confirmation
F6. Navigate to delivery failed report
Condition:
- delivery failed
Action:
- redirect → S-64 – Delivery Failed Report
FUNCTION GROUP D – Security & consistency
F7. Prevent unauthorized access
Nếu shipperId ≠ assigned shipper:
- block access
- redirect
F8. Refresh delivery status
Nếu status thay đổi (ví dụ đã completed):
- disable CTA
- show info message
",medium,Dev D (Huy),Sprint 3,"Mục tiêu
Cho Shipper:
- xem tất cả delivery được gán
- xem chi tiết từng delivery
- điều hướng sang screen action (S-63 / S-64)

Actor & quyền
Actor: Shipper
Permission:
- Shipper đăng nhập
- Chỉ thấy delivery được assign cho mình

Output & điều hướng
Không thay đổi trạng thái delivery tại screen này
Mọi thay đổi trạng thái:
chỉ xảy ra ở S-63 / S-64",,
S-62 – Delivery Detail – BP6,"1. Xem thông tin giao hàng
2. Liên hệ Buyer / Seller",medium,Dev D,Sprint 3,Remove S-62,,
S-63 – Delivery Confirmation – BP6,"F1. Load delivery info
Hiển thị:
- buyer info
- address
- order info
F2. Confirm delivery
Input:
receiver name
receiver phone
signature image (optional, khoi cung dc)

Action:

delivery → DELIVERED

transaction → COMPLETED

listing → SOLD

F3. Prevent double submit

Nếu delivery ≠ IN_PROGRESS:

block confirm",complex,Dev D (Huy),Sprint 3,"Mục tiêu
Xác nhận giao hàng thành công

Permission
Shipper phải được assign
Delivery status = IN_PROGRESS

Output
Redirect → Shipper Dashboard",,
S-64 – Delivery Failed Report – BP6 → BP7,"F1. Input failed reason
Require:
- reason
- optional image proof (khoi cung duoc)
F2. Submit failed report
Action:
- delivery → FAILED
- transaction → IN_DISPUTE
- Notify Buyer/Seller
",medium,Dev D (Huy),Sprint 3,"Mục tiêu
Báo cáo giao hàng thất bại
Permission
Shipper được assign
Delivery status = IN_PROGRESS
Output
Redirect → Shipper Dashboard",,
"S-70 – Dispute Creation (Buyer, Seller) – BP7",,medium,Dev B ( Quang ),Sprint 3,,,
"S-71 – Dispute List (Inspector, Admin) – BP7",,medium,Dev C ( Lâm ),Sprint 3,,,
S-72 – Dispute Detail (Inspector) – BP7,,medium,Dev C ( Lâm ),Sprint 3,,,
S-73 – Dispute Resolution (Inspector) – BP7,,complex,Dev C ( Lâm ),Sprint 3,,,
"S-74 – Dispute Result View (Buyer, Seller) – BP7",,simple,Dev B ( Quang ),Sprint 3,,,
S-80 – Admin Dashboard – Supporting,,simple,Dev E (Đạt ),Sprint 3,,,
S-81 – User Management – Supporting,,complex,Dev E (Đạt ),Sprint 3,,,
S-82 – Audit Log – Supporting,,medium,Dev E (Đạt ),Sprint 3,,,
S-83 – Dispute Override – BP7 (Special),,complex,Dev E (Đạt ),Sprint 3,,,
,,,,,,,
Note,,,,,,,
"level easy: <=3 No of Transaction tương ứng với (CRUD)

level medium: >3 & <=8  _______

level complex: >8 _______",,,,,,,
"SPRINT 1
S-02 / S-03 – Login / Register
S-10 / S-11 – Seller Dashboard + My Listings
S-12 → S-14 – Create Listing Flow
S-20 → S-22 – Inspector duyệt
S-01 – Home (kèm search keyword)
S-31 → S-32 – Buyer Listing List + Detail


SPRINT 2 – Giao dịch & kiểm định
A. Hoàn thiện Listing & Inspection (tiếp nối Sprint 1)
S-16 – Edit Listing
S-18 – Draft Listings
S-19 – Listing Need More Info
S-40 – Inspection Chat Thread
S-41 – Inspection Request Detail
S-42 – Inspection Response (Seller)
S-43 – Inspection Summary
B. Core Transaction Flow (BP5)
S-50 – Purchase / Deposit Request (Buyer)
S-51 – Transaction Summary (Buyer)
S-52 – Pending Transactions (Seller)
S-53 – Transaction Detail (Seller)
✅ S-54 – Transaction Detail (Buyer) ← CORE, chốt giao dịch
C. Delivery – CORE (chỉ phần chính)
S-60 – Shipper Dashboard
S-61 – Assigned Deliveries
S-62 – Delivery Detail



SPRINT 3 – Exception & Supporting
A. Delivery Result & Exception
S-63 – Delivery Confirmation
S-64 – Delivery Failed Report
B. Dispute Flow (BP7)
S-70 – Dispute Creation
S-71 – Dispute List
S-72 – Dispute Detail
S-73 – Dispute Resolution
S-74 – Dispute Result View
C. Buyer Convenience (FE Supporting)
🟩 My Orders
Overview đơn mua
Điều hướng vào S-54
Empty state + CTA
📌 Đặt ở đây là đúng nhất:
Đã có order
Đã có delivery
Đã có dispute
D. User & System Supporting
S-04 – User Profile
S-05 – Notification Center
🔹 E. Admin (luôn để cuối)
S-80 – Admin Dashboard
S-81 – User Management
S-82 – Audit Log
S-83 – Dispute Override
🔹 F. Optional / Nice-to-have
S-24 – Review History (Optional)
",,,,,,,
